"year"	"country"	"fdi"	"population"	"arms_exports"	"conflict_id"	"conflict"	"polity2"	"alliance"	"km_dist"	"gdp"	"gdp_perc_growth"
2003	"Angola"	-3.6e+07	18203369	NA	NA	NA	-2	NA	10578	14188949398.3752	0.135356833160242
2004	"Angola"	-2.2e+07	18865716	NA	387	1	-2	NA	10578	19640853733.598	0.384235941798982
2005	"Angola"	9.8e+07	19552542	NA	NA	NA	-2	NA	10578	28233712737.97	0.437499261535302
2006	"Angola"	2.8e+08	20262399	NA	NA	NA	-2	NA	10578	41789479931.7142	0.480126978678004
2007	"Angola"	-9.9e+07	20997687	NA	387	1	-2	NA	10578	60448924661.7935	0.446510575402461
2008	"Angola"	7.89e+08	21759420	NA	NA	NA	-2	NA	10578	84178035578.8223	0.392548106517876
2009	"Angola"	5.4e+07	22549547	NA	387	1	-2	NA	10578	75492385928.3332	-0.103181900014239
2010	"Angola"	1.974e+09	23369131	NA	NA	NA	-2	NA	10578	82526143645.0623	0.0931717501074402
2011	"Angola"	7.07e+08	24218565	NA	NA	NA	-2	NA	10578	104115807985.965	0.261609998811503
2012	"Angola"	-3.011e+09	25096150	NA	NA	NA	-2	NA	10578	113923162050.111	0.0941965898729619
2003	"Anguilla"	-2e+06	12021	NA	NA	NA	NA	NA	NA	NA	NA
2004	"Anguilla"	-4e+06	12339	NA	NA	NA	NA	NA	NA	NA	NA
2006	"Anguilla"	0	12903	NA	NA	NA	NA	NA	NA	NA	NA
2007	"Anguilla"	0	13150	NA	NA	NA	NA	NA	NA	NA	NA
2008	"Anguilla"	0	13360	NA	NA	NA	NA	NA	NA	NA	NA
2009	"Anguilla"	0	13565	NA	NA	NA	NA	NA	NA	NA	NA
2010	"Anguilla"	0	13769	NA	NA	NA	NA	NA	NA	NA	NA
2011	"Anguilla"	0	13951	NA	NA	NA	NA	NA	NA	NA	NA
2012	"Anguilla"	NA	14129	NA	NA	NA	NA	NA	NA	NA	NA
2003	"Antigua and Barbuda"	-4e+06	87293	NA	NA	NA	NA	NA	NA	855643111.111111	0.0503646028977825
2004	"Antigua and Barbuda"	2e+06	88257	NA	NA	NA	NA	NA	NA	919577148.148148	0.0747204485220645
2005	"Antigua and Barbuda"	2e+06	89253	NA	NA	NA	NA	NA	NA	1022191296.2963	0.111588405991599
2006	"Antigua and Barbuda"	6e+06	90301	NA	NA	NA	NA	NA	NA	1157005444.44444	0.131887395868671
2007	"Antigua and Barbuda"	5e+06	91381	NA	NA	NA	NA	NA	NA	1311401333.33333	0.13344439270381
2008	"Antigua and Barbuda"	5e+06	92478	NA	NA	NA	NA	NA	NA	1368431037.03704	0.0434876053989907
2009	"Antigua and Barbuda"	0	93581	NA	NA	NA	NA	NA	NA	1224253000	-0.105360104480835
2010	"Antigua and Barbuda"	0	94661	NA	NA	NA	NA	NA	NA	1152469074.07407	-0.0586348785144329
2011	"Antigua and Barbuda"	0	95719	NA	NA	NA	NA	NA	NA	1142042925.92593	-0.00904679212890519
2012	"Antigua and Barbuda"	0	96777	NA	NA	NA	NA	NA	NA	1211411703.7037	0.0607409548301594
2003	"Argentina"	-1.18e+08	38309379	11	NA	NA	8	1	8318	127586973492.177	0.305584789212609
2004	"Argentina"	1.76e+09	38728696	19	NA	NA	8	1	8318	164657930452.787	0.290554403368483
2005	"Argentina"	8.59e+08	39145488	3	NA	NA	8	1	8318	198737095012.282	0.206969469771556
2006	"Argentina"	4.274e+09	39558890	9	NA	NA	8	1	8318	232557260817.308	0.170175405869427
2007	"Argentina"	5.47e+08	39970224	15	NA	NA	8	1	8318	287530508430.568	0.236385857917572
2008	"Argentina"	1.542e+09	40382389	17	NA	NA	8	1	8318	361558037110.419	0.257459735608289
2009	"Argentina"	1.209e+09	40799407	8	NA	NA	8	1	8318	332976484577.619	-0.0790510778331039
2010	"Argentina"	-2.772e+09	41223889	3	NA	NA	8	1	8318	423627422092.49	0.272244262623716
2011	"Argentina"	2.607e+09	41656879	1	NA	NA	8	1	8318	530163281574.658	0.251484804633134
2012	"Argentina"	1.371e+09	42096739	3	NA	NA	8	1	8318	545982375701.128	0.0298381549161328
2003	"Armenia"	0	3017806	NA	NA	NA	5	NA	9418	2807061008.69084	0.181256410193981
2004	"Armenia"	1e+06	3000612	NA	NA	NA	5	NA	9418	3576615240.41616	0.274149450027175
2005	"Armenia"	1e+06	2981259	NA	NA	NA	5	NA	9418	4900469950.09033	0.37014177390804
2006	"Armenia"	1e+06	2958500	NA	NA	NA	5	NA	9418	6384451606.1421	0.302824355860894
2007	"Armenia"	1e+06	2933056	NA	NA	NA	5	NA	9418	9206301700.39619	0.44198785868145
2008	"Armenia"	1e+06	2908220	NA	NA	NA	5	NA	9418	11662040713.8753	0.266745441698204
2009	"Armenia"	1e+06	2888584	NA	NA	NA	5	NA	9418	8647936747.98704	-0.258454248260524
2010	"Armenia"	0	2877311	NA	NA	NA	5	NA	9418	9260284937.79782	0.0708085879505669
2011	"Armenia"	0	2875581	NA	NA	NA	5	NA	9418	10142111334.4961	0.0952267022690542
2012	"Armenia"	0	2881922	NA	NA	NA	5	NA	9418	10619320048.5857	0.0470522062271671
2003	"Aruba"	-4.68e+08	97017	NA	NA	NA	NA	NA	NA	2021301675.97765	0.0413203398415891
2004	"Aruba"	-1.9e+08	98737	NA	NA	NA	NA	NA	NA	2228279329.60894	0.102398200175231
2005	"Aruba"	-4.8e+07	100031	NA	NA	NA	NA	NA	NA	2331005586.59218	0.0461011577939234
2006	"Aruba"	1.22e+08	100832	NA	NA	NA	NA	NA	NA	2421474860.3352	0.0388112642300793
2007	"Aruba"	1.46e+08	101220	NA	NA	NA	NA	NA	NA	2623726256.98324	0.083524053857013
